id;tipo_debito;situacao_debito;data_vencimento;data_pagamento;valor_original;total_pago;total_desconto;total_devido;observacoes
1;CANTINA;PAGO;2021-03-29;2021-03-28;29512;69906;25922;50087;Checking Account
2;OUTROS;PAGO_PARCIAL;2021-03-28;2021-03-29;99966;65327;95692;71943;Corporate
3;MENSALIDADE;CANCELADO;2021-03-29;2021-03-29;5201;8751;44966;71151;Small Wooden Ball infomediaries magnetic
4;MENSALIDADE;PAGO_PARCIAL;2021-03-29;2021-03-29;54994;68568;20992;94015;Gorgeous Steel Salad Tools Concrete
5;CANTINA;CANCELADO;2021-03-29;2021-03-29;30428;20460;18768;27840;solid state
6;CANTINA;PAGO;2021-03-29;2021-03-28;58114;79019;98093;69311;invoice hard drive deposit
7;CANTINA;PAGO;2021-03-29;2021-03-28;84704;38389;89093;20620;card Vermont
8;MENSALIDADE;CANCELADO;2021-03-28;2021-03-28;14007;6769;78707;68614;dynamic Assistant payment
9;UNIFORME;PAGO;2021-03-29;2021-03-28;61652;84751;25850;20572;Rustic Concrete Bacon Tasty Soft Bike
10;TAXA_MATERIAL;PAGO_PARCIAL;2021-03-29;2021-03-29;15977;95013;5546;71301;Upgradable communities collaboration
