id;data_lancamento;situacao_debito;data_vencimento;data_pagamento;valor_original;total_pago;total_desconto;total_devido;observacoes
1;2021-03-29;CANCELADO;2021-03-29;2021-03-29;61329;37040;3284;30783;generate bleeding-edge Bacon
2;2021-03-28;PAGO_PARCIAL;2021-03-29;2021-03-29;25127;25550;46584;316;e-business GB Developer
3;2021-03-29;CANCELADO;2021-03-29;2021-03-29;32990;56016;21368;37634;Program invoice
4;2021-03-28;PAGO_PARCIAL;2021-03-29;2021-03-28;30377;49691;25647;42257;intuitive online
5;2021-03-28;NAO_PAGO;2021-03-28;2021-03-29;39992;15023;48176;58222;Avon
6;2021-03-28;CANCELADO;2021-03-29;2021-03-29;14502;69208;2875;7975;RAM
7;2021-03-29;PAGO;2021-03-28;2021-03-29;91063;37117;63834;94477;AGP
8;2021-03-29;NAO_PAGO;2021-03-29;2021-03-29;79743;27869;52318;89861;Legacy Agent
9;2021-03-29;PAGO;2021-03-28;2021-03-29;20032;49386;80626;69393;Teclado e-business Tactics
10;2021-03-28;CANCELADO;2021-03-28;2021-03-29;12041;95124;1078;51245;transmit
