id;situacao_solicitacao;data_solicitacao;observacoes_solicitante;observacoes_atendimento
1;EM_ANDAMENTO;2021-03-28;silver bus cutting-edge;Ergonomic Wooden Soap quantify
2;EM_ANDAMENTO;2021-03-29;primary Nepalese Rupee;Handmade Concrete Cheese incubate Idaho
3;CANCELADO;2021-03-29;Cambridgeshire;panel Tools
4;CONCLUIDO;2021-03-29;Awesome Computers explicit;Optional Colorado
5;CONCLUIDO;2021-03-29;Chief Wisconsin Pants;auxiliary grey
6;EM_ANDAMENTO;2021-03-29;Developer Checking Account blue;Washington Concrete
7;AGUARDANDO;2021-03-29;open-source GB open-source;local area network Home Loan Account
8;AGUARDANDO;2021-03-29;uniform payment compressing;Shoes solid state
9;EM_ANDAMENTO;2021-03-29;Soft Burundi Franc Fresh;circuit
10;EM_ANDAMENTO;2021-03-29;system 1080p;virtual
